page_id,page_namespace,"page_title","page_restrictions",page_counter,page_is_redirect,page_is_new,page_random,"page_touched",page_latest,page_len
2,0,"Technology:JAXB","",1403,0,0,0.979308246949,"20130609002122",18902,840
3,0,"Technology:JDOM","",354,0,0,0.759801664921,"20130609002123",16900,256
4,0,"Technology:XOM","",358,0,0,0.895038304962,"20130609002123",16988,205
5,14,"API_implementation","",617,0,0,0.106107058067,"20130609002124",16091,465
7,14,"Base","",1876,0,0,0.835696354766,"20130609002124",14099,80
8,14,"API","",591,0,0,0.363948709223,"20130609002125",16090,65
9,0,"Technology:DOM","",689,0,0,0.968464831161,"20130609002126",18676,314
10,14,"Capability","",1778,0,0,0.960082688399,"20130609002128",16129,863
11,0,"Persistence","",748,0,0,0.290161325755,"20130609002128",18601,1029
12,0,"Streaming","",601,0,0,0.098894508071,"20130609002129",18662,198
13,0,"Object/XML_mapping","",2557,0,0,0.6701948355,"20130609002130",18611,257
15,0,"Technology:JAXP","",974,0,0,0.158840475176,"20130609002131",18901,606
16,0,"Technology:Java_SE","",433,0,0,0.72796183054,"20130609002131",16922,247
17,14,"Platform","",582,0,0,0.355934820531,"20130609002132",16228,244
18,0,"Technology:Java_platform","",509,0,0,0.517041712377,"20130609002134",16928,321
19,14,"Framework","",511,0,0,0.925558319925,"20130609002136",16167,65
21,14,"Programming_language","",896,0,0,0.088797153494,"20130609002137",18303,60
22,0,"Language:Java","",2116,0,0,0.201481664216,"20130609002137",24432,467
25,14,"OO_programming_language","",628,0,0,0.209605893264,"20130609002138",16218,211
29,0,"Language:Scala","",653,0,0,0.004249261054,"20130609002139",16676,390
31,0,"Language:Haskell","",1939,0,0,0.245957747506,"20130609002140",23485,625
32,0,"Access_control","",523,0,0,0.312897877758,"20130609002140",18354,199
33,0,"Distribution","",471,0,0,0.880018951051,"20130609002141",16480,224
34,0,"Indexing","",402,0,0,0.291964900338,"20130609002142",18468,180
37,0,"Parsing","",860,0,0,0.327246588678,"20130609002142",22351,328
38,0,"Interaction","",642,0,0,0.732500358913,"20130609002143",18461,289
40,0,"CLI","",410,0,0,0.55423646911,"20130609002144",16407,187
41,0,"GUI","",608,0,0,0.196982495325,"20130609002145",18473,163
42,14,"Mapping","",765,0,0,0.036963091606,"20130609002146",16198,582
43,0,"Object/Relational_mapping","",1250,0,0,0.917445181791,"20130609002146",16731,229
44,0,"Relational/XML_mapping","",840,0,0,0.297505720622,"20130609002147",19106,564
52,14,"Mapping_technology","",582,0,0,0.451488073256,"20130609002148",16199,117
55,14,"Persistence_technology","",517,0,0,0.503059179514,"20130609002148",16227,629
56,0,"Technology:Hibernate","",719,0,0,0.36217537891,"20130609002149",20321,369
57,14,"Computation","",1601,0,0,0.460969658434,"20130609002149",16143,551
58,0,"Query","",770,0,0,0.399741697567,"20130609002150",21350,584
61,0,"Condition","",1386,0,0,0.653111566337,"20130609002228",21357,785
62,0,"Pure_function","",708,0,0,0.980747164131,"20130609002229",18637,327
63,0,"Impure_function","",841,0,0,0.108574613706,"20130609002230",17772,350
65,14,"Transformation","",653,0,0,0.366098832988,"20130609002231",16280,57
69,14,"Library","",410,0,0,0.69685924631,"20130609002231",16195,65
70,0,"Technology:Haskell_platform","",370,0,0,0.050661279061,"20130609002233",21671,185
73,0,"Grammarware","",480,0,0,0.619636869603,"20130609002233",16560,117
74,0,"XMLware","",1415,0,0,0.147482669245,"20130609002234",17059,159
75,0,"Modelware","",558,0,0,0.161414960382,"20130609002235",16719,126
76,0,"Objectware","",1481,0,0,0.505829978836,"20130609002235",16734,119
77,0,"Relationalware","",564,0,0,0.273954042532,"20130609002340",16789,109
113,0,"Contributor:Ralf_Lämmel","",2824,0,0,0.147855631225,"20130609002341",17647,149
114,0,"Contributor:Thomas_Schmorleiz","",3731,0,0,0.628883693354,"20130609002342",17665,118
115,0,"Contributor:Betim_Sojeva","",1159,0,0,0.582310974834,"20130609002344",17581,25
129,4,"CITE","",349,0,0,0.477700337492,"20130609002345",469,260
130,0,"101companies.BOTS","",251,0,0,0.385671792497,"20130609002346",13602,455
133,0,"Old_Main_Page","",144,0,0,0.169818218724,"20130609002346",15491,436
134,8,"Mainpage","",111,0,0,0.784693264744,"20130609002347",2196,20
136,4,"Privacy_policy","",1941,0,0,0.151807370837,"20130609002348",1579,639
137,12,"Contents","",2130,0,0,0.925356725422,"20130609002348",23486,136
138,8,"Sidebar","",271,0,0,0.312553019582,"20130609002349",6809,181
140,8,"Copyright","",200,0,0,0.024550738371,"20130609002349",391,0
157,4,"Copyright","",42,0,1,0.984414584795,"20130609002456",387,1
159,14,"101implementation","",5718,0,0,0.029563073728,"20130609002456",16040,58
193,4,"Ontology","",11644,0,0,0.014632345496,"20130609002459",23487,3001
225,0,"Technology:SAX","",680,0,0,0.507460493252,"20130609002500",19172,644
226,0,"Push-based_XML_parsing","",578,0,0,0.893102437545,"20130609002501",16778,461
227,0,"Pull-based_XML_parsing","",447,0,0,0.220714314306,"20130609002501",16777,49
228,0,"In-memory_XML_processing","",441,0,0,0.975509663161,"20130609002502",16576,48
229,14,"XML_processing","",976,0,0,0.317183489554,"20130609002503",16292,59
261,0,"Horizontal_transformation","",320,0,0,0.461998992061,"20130609002610",16568,349
262,0,"Vertical_transformation","",265,0,0,0.870885271417,"20130609002615",17048,333
272,4,"CategoryTree","",2640,0,0,0.067138101872,"20130609002615",6964,145
311,0,"Feature:Total","",3766,0,0,0.657406631397,"20130609002623",24322,3272
312,0,"Feature:Cut","",3945,0,0,0.1430701953,"20130609002624",24305,2926
317,0,"Feature:Depth","",1208,0,0,0.531734657868,"20130609002625",24429,2939
318,0,"Feature:Mentoring","",1386,0,0,0.082234804983,"20130609002626",24318,3977
320,0,"Feature:Ranking","",1257,0,0,0.48491189032,"20130609195713",24545,3515
325,0,"Feature:Nesting","",5307,0,0,0.801082633344,"20130609002638",24275,4683
327,0,"Language:Haskell_98","",420,0,0,0.182311415844,"20130609002638",16649,130
329,0,"Technology:.NET","",819,0,0,0.652191455835,"20130609002639",16821,286
330,0,"Language:CSharp","",1188,0,0,0.774035287145,"20130609002640",19090,536
331,0,"Technology:Entity_Framework","",1281,0,0,0.914619455681,"20130609002640",19137,836
332,0,"Language:FSharp","",594,0,0,0.380773783527,"20130609002641",19086,421
333,0,"ADO_.NET","",85,0,0,0.489303989987,"20130609002642",13720,137
334,0,"Technology:LINQ_to_SQL","",161,0,0,0.412654622263,"20130609002722",15713,157
335,0,"Technology:LINQ_to_XML","",205,0,0,0.689444734159,"20130609002724",15714,197
336,0,"Technology:WPF","",189,0,0,0.140799357524,"20130609002725",15791,162
337,0,"Technology:Silverlight","",605,0,0,0.211048131963,"20130609002727",19168,476
338,0,"Technology:ASP_.NET","",155,0,0,0.066325058246,"20130609002729",15593,112
339,0,"Technology:ASP_.NET_MVC","",87,0,0,0.403207804182,"20130609002730",15594,129
343,14,"Multi-paradigm_programming_language","",493,0,0,0.662676343506,"20130609002732",16214,175
345,0,"Feature:Persistence","",1160,0,0,0.982510827489,"20130609002734",24329,690
348,0,"Technology:GHCi","",559,0,0,0.45276019406,"20130609002736",21704,129
349,0,"Technology:GHC","",403,0,0,0.53975002794,"20130609002738",21703,422
351,0,"Functional_programming","",551,0,0,0.547564483831,"20130609002739",24042,2307
354,14,"Type","",314,0,0,0.485842690367,"20130609003949",16281,124
355,14,"Tool","",361,0,0,0.592726522064,"20130609003956",16278,65
356,0,"Test_automation","",329,0,0,0.727398867705,"20130609003958",21374,291
357,0,"Technology:JUnit","",345,0,0,0.209524109299,"20130609004001",22231,224
358,14,"Toolkit","",447,0,0,0.431995279178,"20130609004003",16279,65
359,14,"Plugin","",249,0,0,0.793672787984,"20130609004005",16229,224
360,0,"Technology:Object_Streams","",260,0,0,0.593081339254,"20130609004010",18951,209
362,0,"Object_model","",236,0,0,0.61492377449,"20130609004230",16733,178
364,0,"Component","",216,0,0,0.314083028284,"20130609004317",16422,55
365,0,"Module","",467,0,0,0.106572034031,"20130609004420",22195,2078
367,0,"Method","",299,0,0,0.054643127164,"20130609004421",17062,176
368,0,"Technology:Eclipse","",656,0,0,0.095573505312,"20130609004436",21855,300
369,14,"IDE","",324,0,0,0.50795478599,"20130609004436",16175,50
371,14,"Compiler","",332,0,0,0.539199455977,"20130609004437",16136,66
372,14,"Interpreter","",170,0,0,0.924374622405,"20130609004437",16183,51
374,0,"Marker_interface_pattern","",255,0,0,0.79305229294,"20130609004439",16707,49
375,0,"Observer_pattern","",299,0,0,0.269815253713,"20130609004439",18610,212
376,0,"Composite_pattern","",250,0,0,0.450106478742,"20130609004440",16423,48
377,0,"Proxy_pattern","",213,0,0,0.8723783436,"20130609004440",16776,49
378,0,"Visitor_pattern","",310,0,0,0.721645890221,"20130609004441",21846,679
384,0,"Package","",189,0,0,0.161197668785,"20130609004441",22247,354
385,0,"Technology:javac","",422,0,0,0.843475182869,"20130609004441",17008,151
